case_number,date,year,type,country,area,activity,fatal,species,pdf
1947.04.06,06-Apr-1947,1947,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,1947.04.06-Watt.pdf
1947.04.00,Apr-1947,1947,Provoked,PACIFIC OCEAN,,"Moving shark from tuna vessel when boat rolled, placing both man & shark in chest-deep water",N,,1947.04.00-Kaufmann.pdf
1947.03.12,12-Mar-1947,1947,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Wading,N,,1947.03.12-Kriel.pdf
1947.03.09,09-Mar-1947,1947,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,N,"Blacktip shark, 2 m [6.75'] ",1947.03.09-Botha.pdf
1947.02.23,23-Feb-1947,1947,Boating,AUSTRALIA,Queensland,Fishing,N,,1947.02.23-boat-PalmBeach.pdf
1947.02.06.R,Reported 06-Feb-1947,1947,Provoked,BAHAMAS,New Providence Island,Attempting to ride a shark,N,5' shark,1947.02.06.R-Whitman.pdf
1947.02.00,Feb-1947,1947,Unprovoked,BRAZIL,Rio de Janeiro,Bathing,Y,,1947.02.00-Brazil.pdf
1947.01.14,14-Jan-1947,1947,Boating,AUSTRALIA,New South Wales,Rowing,N,"4.5  m [14'9""] shark",1947.01.14-rowboat.pdf
1947.01.05,05-Jan-1947,1947,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,N,>1.6 m shark,1947.01.05-Knoop.pdf
1946.12.28,28-Dec-1946,1946,Unprovoked,AUSTRALIA,South Australia,Swimming near jetty with 2' piece of wood,N,,1946.12.28-Streng.pdf
1946.12.24.R,Reported 24-Dec-1946,1946,Boating,AUSTRALIA,Queensland,,N,7' shark,1946.12.24.R-Lone-launch.pdf
1946.11.20,20-Nov-1946,1946,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving from lugger,Y,,1946.11.20-EsronaJohnson.pdf
1946.10.26.R,Reported 26-Oct-1946,1946,Unprovoked,MARSHALL ISLANDS,Kwajalein,Fishing,Y,,1946.10.26.R-Kwajalein.pdf
1946.10.14,14-Oct-1946,1946,Unprovoked,AUSTRALIA,New South Wales,Swimming,N,,1946.10.14-Blackmore.pdf
1946.08.24,24-Aug-1946,1946,Unprovoked,ISRAEL,Gaza,Fishing,N,,1946.08.24-KMAyesh.pdf
1946.08.18,18-Aug-1946,1946,Unprovoked,AUSTRALIA,Queensland,Swimming after a tennis ball,Y,4.3 m [14'] shark,1946.08.18-Collin.pdf
1946.07.18.b,18-Jul-1946,1946,Unprovoked,IRAN,Khuzestan Province,"Fishing, probably with a net",N,,1946.07.18.b-Khodadad.pdf
1946.07.18.a,18-Jul-1946,1946,Unprovoked,IRAN,Khuzestan Province,Swimming ,N,Possibly C. leucas,1946.07.18.a-Mehdi.pdf
1946.06.28,28-Jun-1946,1946,Unprovoked,INDIA,,Bathing,N,,1946.06.28-Murugesan.pdf
1946.05.09,09-May-1946,1946,Unprovoked,TANZANIA,Dar-es-Salaam ,Swimming ,N,,1946.05.09-Svendson.pdf
1946.04.19,19-Apr-1946,1946,Unprovoked,AUSTRALIA,Queensland,Swimming,Y,,1946.04.19-McAuliffe.pdf
1946.04.00,Apr-1946,1946,Boating,AUSTRALIA,South Australia,Fishing,N,6 m [20']  shark,1946.04.00-boat-Nardelli.pdf
1946.03.20,20-Mar-1946,1946,Boating,AUSTRALIA,South Australia,Fishing,N,,1946.03.20-Leverenz.pdf
1946.02.16,16-Feb-1946,1946,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,N,,1946.02.16-Tomson.pdf
1946.02.10.b,10-Feb-1946,1946,Unprovoked,AUSTRALIA,Western Australia,Standing,N,"White shark, 4.2 m [13'9""] ",1946.02.10.b-Sunderland.pdf
1946.02.10.a,10-Feb-1946,1946,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming ,N,,1946.02.10.a-Varma.pdf
1946.01.24.b,24-Jan-1946,1946,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,N,,1946.01.24.b-Gibson.pdf
1946.01.24.a,24-Jan-1946,1946,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,N,,1946.01.24.a-Manduray.pdf
1946.01.17,17-Jan-1946,1946,Unprovoked,AUSTRALIA,Queensland,,N,small shark,1946.01.17-Vaughan.pdf
1946.01.07,07-Jan-1946,1946,Unprovoked,SOUTH AFRICA,Western Cape Province,Jumping in swells,N,1.5 m [5'] shark,1946.01.07-Hoffman.pdf
1946.01.05,05-Jan-1946,1946,Unprovoked,AUSTRALIA,New South Wales,Swimming,Y,,1946.01.05-Tegel.pdf
1946.01.01,01-Jan-1946,1946,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body surfing,N,,1946.01.01-Redfern.pdf
1946.00.00.c,1946,1946,Boating,SOUTH AFRICA,Western Cape Province,,N,,1946.00.00.c-PlettenburgBay.pdf
1946.00.00.b,1946,1946,Boating,SOUTH AFRICA,Western Cape Province,,N,,1946.00.00.b-Table Bay.pdf
1946.00.00.a,1946,1946,Unprovoked,PERSIAN GULF,"""Head of the Gulf""",Bitten after dhow shipwrecked,N,,1946.00.00.a-Arabwoman.pdf
1945.09.23,23-Sep-1945,1945,Unprovoked,HONG KONG,,Bathing,Y,,1945.09.23-Jackson.pdf
1945.09.19,19-Sep-1945,1945,Sea Disaster,OKINAWA,,American minesweeper USS YMS-472 foundered in a typhoon - swimming to shore,N,,1945.09.19-Bemis.pdf
1945.09.16,16-Sep-1945,1945,Sea Disaster,JAPAN,Ryukyu,American minesweeper USS YMS-350 lost in a typhoon - swimming to shore,Y,,1945.09.16-sailor-USS-YMS-350.pdf
1945.09.06,06-Sep-1945,1945,Unprovoked,IRAN,Shatt-al-Arab River,Swimming,N,,1945.09.06-Hamid.pdf
1945.08.19,19-Aug-1945,1945,Unprovoked,IRAN / IRAQ,Shatt-al-Arab River,,N,,1945.08.19-Karmi.pdf
1945.08.06,06-Aug-1945,1945,Unprovoked,USA, North Carolina,,Y,,1945.08.06-Kuenzler.pdf
1945.07.30,30-Jul-1945,1945,Sea Disaster,PHILIPPINES,In transit between Tinian and Leyte,American cruiser Indianapolis torpedoed & sunk by the Japanese submarine I-58,Y,,1945.07.30-USS Indianapolis.pdf
1945.07.00,Jul-1945,1945,Sea Disaster,JAVA,Northern Java,"90 European civilians, many women & children, were placed on the deck of a Japanese submarine that submerged when it was well offshore",Y,,1945.07.00-CheribonAtrocity.pdf
1945.06.15,15-Jun-1945,1945,Unprovoked,AUSTRALIA,Queensland,Swimming,Y,,1945.06.15-McHugh.pdf
1945.05.08,08-May-1945,1945,Unprovoked,USA,North Carolina,Swimming,Y,,1945.05.08-Kuenzler.pdf
1945.03.06,06-Mar-1945,1945,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Walking,N,Thought to involve a Zambesi shark,1945.03.06-Drummond.pdf
1945.02.05,05-Feb-1945,1945,Unprovoked,ISRAEL,Tel Aviv,Swimming,N,,1945.02.05-Constable-TelAviv.pdf
1945.00.00.d,1945,1945,Unprovoked,JAMAICA,,Diving,N,,1945.00.00.d-Stewart.pdf
1945.00.00.c,1945,1945,Unprovoked,CUBA,Havana Province,"Playing on rock, slipped & fell into the water",Y,,1945.00.00.c-Cuba.pdf
1945.00.00.b,1945,1945,Unprovoked,PANAMA,Colon Province,Bathing with her mother,N,,1945.00.00.b-Asista.pdf
1945.00.00.a,1945,1945,Unprovoked,IRAQ,Basrah,Swimming,N,Bull shark,1945.00.00.a-Shatt-al-Arab.pdf
1944.12.18,Between 18 & 22-Dec 1944,1944,Sea Disaster,PHILIPPINES,300 miles east of Luzon,Swimming near life raft,N,9' shark,1944.12.18-Nagurney.pdf
1944.12.02,02-Dec-1944,1944,Provoked,USA,Florida,Fishing for mackerel,N,"Tiger shark, 4.5 to 5.5 m [14'9"" to 18'], 2000-lb  ",1944.12.02-skiff-Moree.pdf
1944.11.08,08-Nov-1944,1944,Sea Disaster,SIERRA LEONE,Western Area,,Y,,1944.11.08-Meaden.pdf
1944.11.01,01-Nov-1944,1944,Invalid,AUSTRALIA,Queensland,Swimming,UNKNOWN,,1944.11.01-AmericanSailor.pdf
1944.10.26.b,26-Oct-1944,1944,Sea Disaster,PHILIPPINES,,"USS Gambier Bay CVE-73  shelled & sunk  at 09h57 on 10/24/1944, by Japanes fleet enroute to attack the Allied landing force at Leyte.",Y,,1944.10.26.b-Heinl.pdf
1944.10.26.a,26-Oct-1944,1944,Sea Disaster, PHILIPPINES,Bernardino Strait near Gulf of Leyte,USS Hoel DD 533 sunk on 10/24/1944 in the Battle off Samar. 2 crewmen were swimmng alongside a floater net &,Y,,1944.10.26.a-2men-incomplete.pdf
1944.10.25.b,25-Oct-1944,1944,Sea Disaster,PHILIPPINES,Off Samar Island in the Gulf of Leyte,USS Johnston DD 557 sunk on 10/24/1944 in the Battle off Samara. Crewmen were swimming beside a raft.,Y,,1944.10.25.b-Carter.pdf
1944.10.25.a,25-Oct-1944,1944,Unprovoked,PHILIPPINES,,Parachuted into Pacific,N,,1944.10.25.a-Ensign.pdf
1944.10.24,24-Oct-1944,1944,Sea Disaster,,,Japanese POW ship Arisan Maru with 1800 American prisoners of war on board bound for slave labor camps was torpedoed by an American submarine,Y,,1944.10.24-ArisanMaru.pdf
1944.10.23.R,Reported 23-Oct-1944,1944,Boating,AUSTRALIA,Queensland,Fishing,N,,1944.10.23.R-Tewantin-dinghy.pdf
1944.09.03,03-Sep-1944,1944,Unprovoked,USA,Maryland,Swimming,N,,1944.09.03-PhilipStanton.pdf
1944.09.00,Sep-1944,1944,Unprovoked,CARIBBEAN SEA,,Fell overboard from US Navy PC boat,Y,,1944.09.00-sailor.pdf
1944.08.20,20-Aug-1944,1944,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming ,Y,,1944.08.20-Nissen.pdf
1944.07.22,22-Jul-144,1944,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,Y,"White shark, according to witnesses",1944.07.22-Schmidt.pdf
1944.06.23,23-Jun-1944,1944,Invalid,NORTH PACIFIC OCEAN,,,UNKNOWN,Invalid,1944.06.23-Boyd-Rescue-incomplete.pdf
1944.05.31,31-May-1944,1944,Unprovoked,USA,Florida,Bathing,N,1.8 m [6'] blacktip shark or spinner shark,1944.05.31-Shands.pdf
1944.05.24.R,Reported 24-May-1944,1944,Unprovoked,SAMOA,,,N,5' shark,1944.05.24.R-Seabee.pdf
1944.05.04,04-May-1944,1944,Unprovoked,PANAMA,Caribbean Sea,Washed overboard by swell,Y,"White shark, 2.4 m [8'] ",1944.05.04.a-seaman.pdf
1944.04.00,Apr-1944,1944,Unprovoked,NICARAGUA,Lake Nicaragua (fresh water),,Y,Bull sharks to 1.5 m [5']  in length,1944.04.00-LakeNicaragua.pdf
1944.03.26.b,26-Mar-1944,1944,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,N,,1944.03.26.b-Botha.pdf
1944.03.26.a,26-Mar-1944,1944,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Standing,Y,,1944.03.26.a-Best.pdf
1944.03.14,14-Mar-1944,1944,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,N,,1944.03.14-Field.pdf
1944.02.27,27-Feb-1944,1944,Unprovoked,SOUTH AFRICA,Western Cape Province,Treading water,N,2.1 m [7'] shark,1944.02.27-LeBlanc.pdf
1944.02.18,18-Feb-1944,1944,Unprovoked,INDIA,,Bathing,Y,,1944.02.18-Madras.pdf
1944.01.20,20-Jan-1944,1944,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body surfing,Y,,1944.01.20-Bunn.pdf
1944.01.16,16-Jan-1944,1944,Boating,AUSTRALIA,Western Australia,Fishing,N,14' shark,1944.01.16-dinghy-Cottesloe.pdf
1944.01.14,14-Jan-1944,1944,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,1944.01.14-Weir.pdf
1944.01.04,04-Jan-1944,1944,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,Y,,1944.01.04-Selby.pdf
1944.00.00.c,Some time between Apr & Nov-1944,1944,Sea Disaster,SOUTH PACIFIC OCEAN,,Adrift on raft,Y,,1944.00.00.c-Nebatari'sCompanion.pdf
1944.00.00.b,1944,1944,Sea Disaster,ITALY,Adriatic Sea,B-24 aircraft crashed  into the sea,Y,,1944.00.00.b-B-24 crew.pdf
1944.00.00.a,1944,1944,Unprovoked,NEW GUINEA,Pacific Ocean,Fell overboard from USS Ward,Y,,1944.00.00.a-Ward crew.pdf
1943.12.12,12-Dec-1943,1943,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,Y,,1943.12.12-Matthews.pdf
1943.12.04,04-Dec-1943,1943,Sea Disaster,USA,South Carolina,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,Y,,1943.12.04-Libertad.pdf
1943.11.21,21-Nov-1943,1943,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming with board,N,,1943.11.21-Richardson.pdf
1943.11.11,11-Nov-1943,1943,Sea Disaster,PACIFIC OCEAN,Near the Fiji Islands,The 6711-ton American freighter & troop transport Cape San Juan was torpedoed by the Japanese submarine I-21,Y,,1943.11.11-CapeSanJuan.pdf
1943.10.26,26-Oct-1943,1943,Invalid,USA,Florida,,UNKNOWN,Shark involvement prior to death unconfirmed,1943.10.26-Ormond.pdf
1943.09.23,23-Sep-1943,1943,Unprovoked,PANAMA,Gulf of Panama,Dived overboard to check propeller of US Navy motor torpedo boat,Y,"White shark, 2 m [6'9""]  (Tooth fragment recovered from victim's shoulder & identified by J.T. Nicholls)",1943.09.23-sailor.pdf
1943.08.00,Aug-1943,1943,Sea Disaster,ITALY,40 miles south of Naples ,Flying Fortress bomber aircraft went down after daytime raid on Naples. He was swimming on the surface,N,,1943.08.00-Kurz.pdf
1943.07.18,18-Jul-1943,1943,Sea Disaster,USA,Florida,Treading water after survivng crash of the US Navy airship K-74 that was hit by the German submarine U-134,Y,,1943.07.18-Stessel.pdf
1943.07.00.b,Jul-1943,1943,Boating,PORTUGAL,,Fishing for mackerel,N,,1943.07.00.b-Portugal.pdf
1943.07.00.a,Jul-1943,1943,Invalid,MEXICO,Veracruz,Swimming,UNKNOWN,Invalid,1943.07.00.a-Zamora.pdf
1943.06.16,16-Jun-1943,1943,Boating,AUSTRALIA,Tasmania,Fishing for cod,N,"White shark, 3.9 m, 550 kg, male",1943.06.16-dinghy-Parker.pdf
1943.05.27,27-May-1943,1943,Invalid,PACIFIC OCEAN,,B-24 crashed during a search mission. Survivors in raft for 47 days ,UNKNOWN,Invalid,1943.05.27-Zamperini.pdf
1943.05.17.b,17-May-1943,1943,Sea Disaster,CENTRAL PACIFIC,,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",N,,1943.05.17.b-Reading.pdf
1943.05.17.a,17-May-1943,1943,Sea Disaster,CENTRAL PACIFIC,,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",Y,,1943.05.17.a-Almond.pdf
1943.05.14,14-May-1943,1943,Sea Disaster,AUSTRALIA,Queensland,Hospital Ship Centaur torpedoed & sunk by the Japanese submarine I-177,Y,,1943.05.14-Centaur.pdf
1943.05.01.R,Reported 01-May-1943,1943,Sea Disaster,INDIAN OCEAN,,ship torpedoed 400 miles off the African coas. Man was clinging to hatch cover,N,Blue shark,1943.05.01.R-Clarence-Master.pdf
1943.04.05,5-Apr-1943,1943,Invalid,USA,Hawaii,"Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",UNKNOWN,Shark involvement prior to death unconfirmed,1943.04.05-Gant.pdf
1943.03.21,21-Mar-1943,1943,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,Y,,1943.03.21-Ridley.pdf
1943.03.14,14-Mar-1943,1943,Sea Disaster,SIERRA LEONE,,"The 21,516-ton troopship Empress of Canada torpedoed and sunk by the Italian submarine Leonardo da Vinci",Y,,1943.03.14-Empress-of-Canada.pdf
1943.03.02.b,02-Mar-1943,1943,Sea Disaster,BRAZIL,,The 3540-ton Alfonso Penna was torpedoed & sunk by the Italian submarine Barbarigo,Y,,1943.03.02.b-AlfonsoPenna.pdf
1943.03.02.a,02-Mar-1943 to 07-Mar-1943,1943,Sea Disaster,PAPUA NEW GUINEA,Morobe Province,"Known as The Battle of the Bismarck Sea :  8 Japanese destroyers guarding a convoy of 8 transports were attacked by 129 Allied fighters, 207 bombers & 3 squadrons of the Royal Australian Air Force. ",Y,,1943.03.02.a-HuonGulf.pdf
1943.01.26,26-Jan-1943,1943,Sea Disaster,PACIFIC OCEAN,Northwest of Papua New Guinea,The USS Wahoo torpedoes & sank the Japanese troop transport Buyo Maru,Y,,1943.01.26-BuyoMaru.pdf
1943.00.00.f,Summer 1943,1943,Unprovoked,MEXICO,Veracruz,Swimming,Y,,1943.00.00.f-NV-Veracruz.pdf
1943.00.00.e,1943,1943,Unprovoked,SOLOMON ISLANDS,,Swimming,N,,1943.00.00.e-Soldier.pdf
1943.00.00.d,1943,1943,Unprovoked,IRAQ,,Swimming,N,,1943.00.00.d-Khaleeula.pdf
1943.00.00.c,Fall 1943,1943,Unprovoked,USA,Hawaii,Spearfishing,N,"""small sharks""",1943.00.00.c - Midway.pdf
1943.00.00.b,Fall 1943,1943,Unprovoked,USA,Hawaii,Spearfishing,N,"""small sharks""",1943.00.00.b - Midway.pdf
1943.00.00.a,1943,1943,Unprovoked,USA,Hawaii,,UNKNOWN,,1943.00.00.a-Midway.pdf
1942.12.26,26-Dec-1942,1942,Unprovoked,AUSTRALIA,New South Wales,Dog paddling or standing,Y,Bull shark,1942.12.26-Burch.pdf
1942.11.28,28-Nov-1942,1942,Sea Disaster,SOUTH AFRICA,KwaZulu-Natal,U-177 torpedoed & sank the troopship Nova Scotia,Y,"1.8 m to 2.4 m [6' to 8'] sharks, most were oceanic whitetip sharks",1942.11.28-NovaScotia.pdf
1942.11.25,25-Nov-1942,1942,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,N,,1942.11.25-Bilton.pdf
1942.11.16,16-Nov-1942,1942,Sea Disaster,SOLOMON ISLANDS,,Thrown from destroyer when shell hit,N,,1942.11.16-Guadalcanal-HospitalShip.pdf
1942.11.21,21-Nov-1942,1942,Sea Disaster,INDIAN OCEAN,,"On 6-Nov-1942, the German submarine U-68 sank the City of Cairo 5 days from Cape Town, survivors took to lifeboats & rafts. On the 15th day, a fireman jumped over the stern & was taken by sharks",Y,,1942.11.21-City-of-Cairo.pdf
1942.11.13.c,13-Nov-1942,1942,Sea Disaster,SOLOMON ISLANDS,,"Anti-Aircraft cruiser USS Atlanta (CL,-05) travelling in convoy after the Battle of Midway, encountered a Japanese flotilla  (Battle of Guadalcanal) &, heavily damaged by gunfire, she was lost off Lunga Point. Victim was swimming when bitten.",N,,1942.11.13.c-Hicks.pdf
1942.11.13.b,13-Nov-1942,1942,Sea Disaster,SOLOMON ISLANDS / VANUATU,,Explosion & sinking of the USS Juneau after being torpedoed by the submarine  I-85,Y,,1942.11.13.b-Juneau.pdf
1942.11.13.a,12-Nov-1942,1942,Sea Disaster,SOLOMON ISLANDS,,,Y,,1942.11.13.a-Guadalcanal.pdf
1942.11.01,01-Nov-1942,1942,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming ,Y,"White shark, 4.5 m  to 6 m [14'9"" to 20'] according to witnesses",1942.11.01-Bergh.pdf
1942.11.00.b,Nov-1942,1942,Provoked,PACIFIC OCEAN,Between Hawaii and U.S.A.,In rubber dinghy with Captain Eddie Rickenbacker for 21 days. ,N,,1942.11.00.b-Rickenbacker-raftmate.pdf
1942.11.00.a,Nov-1942,1942,Sea Disaster,,Off South American coast,"Dutch merchant ship Zaandam torpedoed  by the U-174 amidships, sank & dozens of survivors took to rafts & boats. One man, Izzi, who drifted 83 days on a raft related that sharks attacked many men in the water when the ship went down",Y,,1942.11.00.a-Izzi.pdf
1942.10.12,12-Oct-1942,1942,Sea Disaster,SOLOMON ISLANDS,Makora-Ulawa Province,"His ship, the US destroyer Duncan DD 485, had been  sunk by crossfire from Japanese warships. He was wearing a kapok lifejacket & using 2 aluminum powder tins for floatation  ",N,,1942.10.12-Kabat.pdf
1942.09.30,30-Sep-1942,1942,Sea Disaster,ATLANTIC OCEAN,04.05N-13.23W,The 6015-ton British ship Empire Avocet was torpedoed by the German submarine U-125. ,N,,1942.09.30-EmpireAvocet.pdf
1942.09.12.b,12-Sep-1942,1942,Sea Disaster,ATLANTIC OCEAN,,"The Pacquebot Laconia, enroute to Liverpool with 600 Italian prisoners onboard, was torpedoed by the German submarine  U-156 and only 2 rafts were launched before the ship went down. Unable to board an overcrowded raft, he was swimming.",N,,1942.09.12.b-Laconia.pdf
1942.09.12.a,12-Sep-1942,1942,Unprovoked,AUSTRALIA,Queensland,Treading water,N,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",1942.09.12.a-Wearne.pdf
1942.09.11,11-Sep-1942 to 16-Sep-1942,1942,Sea Disaster,SOUTHWEST PACIFIC OCEAN,,Adrift on life raft,Y,Tiger shark & others,1942.09.11-NV-AdriftonRaft.pdf
1942.08.08,8-Aug-1942,1942,Sea Disaster,SOLOMON ISLANDS,,Japanese aircraft shot down. He was one of two survivors rescued by the U.S. destroyer Mugford,N,,1942.08.08-Amano.pdf
1942.07.12,12-Jul-1942,1942,Sea Disaster,ATLANTIC OCEAN,,The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942. ,Y,,1942.07.12-Miller.pdf
1942.07.06,06-Jul-1942,1942,Provoked,ITALY,Liguria,Sculling,N,Porbeagle shark,1942.07.06-Bardolini
1942.06.11.R,Reported 11-Jun-1942,1942,Sea Disaster,BAY OF BENGAL,,A 210-ton brig was sunk by a Japanese submarine. Some of the survivors were machine-gunned & some were taken by sharks,Y,,1942.06.11.R-Bay-of-Bengal.pdf
1942.06.08.R,Reported 08-Jun-1942,1942,Invalid,BRAZIL,,boat capsized during filming,UNKNOWN,Shark involvement prior to death unconfirmed,1942.06.08.R-Jacare-Brazil.pdf
1942.06.04,04-Jun-1942,1942,Unprovoked,USA,Midway Atoll,"Plane crashed in water, men in life raft",N,,1942.06.04-Midway.pdf
1942.06.00,Jun-1942,1942,Unprovoked,,300 miles east of St. Thomas (Virgin Islands),On life raft tethered to lifeboat. A seaman put hand over side to rinse a cup,N,,1942.06.00-on-life-raft.pdf
1942.05.09,09-May-1942,1942,Unprovoked,AUSTRALIA,Queensland,Diving from lugger,N,,1942.05.09-Johnson.pdf
1942.04.05,05-Apr-1942,1942,Invalid,INDIAN OCEAN,West of Ceylon (Sri  Lanka),H.M.S. Cornwall & H.M.S.Dorsetshire sunk by Japanese dive bombers. Officers & men in the water formed a circle with 60 of their dead in the center for 36 hours,UNKNOWN,Invalid,1942.04.05-Dorsetshire-Cornwall.pdf
1942.03.08,08-Mar-1942,1942,Sea Disaster,CUBA,Guantanamo Province,Esso Bolivar was torpedoed & shelled by the German submarine U-126,Y,,1942.03.08-EssoBolivar.pdf
1942.03.04,04-Mar-1942,1942,Invalid,AUSTRALIA,New South Wales,,UNKNOWN,Invalid,1942.03.04-Bishop.pdf
1942.01.18,18-Jan-1942,1942,Boating,AUSTRALIA,New South Wales,,N,,1942.01.18-Surf-ski.pdf
1942.01.04,04-Jan-1942,1942,Unprovoked,AUSTRALIA,New South Wales,Swimming,Y,"Bull shark, 4 m [13'] ",1942.01.04-Steadman.pdf
1942.01.00,Jan-1942,1942,Provoked,AUSTRALIA,New South Wales,Surf-skiing,N,3 m [10'] shark,1942.01.00-Surfski.pdf
1942.00.00.k,1942,1942,Sea Disaster,INDONESIA,East Java,Captured Allied soldiers were squeezed into 3' bamboo pig baskets & fed to waiting sharks,Y,,1942.00.00.k-PigBasketAtrocity.pdf
1942.00.00.j,Winter 1942,1942,Boating,AUSTRALIA,Tasmania,Fishing for perch,N,,1942.00.00.j-StormBay.pdf
1942.00.00.i,Summer 1942,1942,Unprovoked,PHILIPPINES,Camiguin Island,"Sailing from Gingood, Misamis Oriental to Sagay (normally a 2-day voyage) capsized with 6 on board, three men were taken by sharks when they attempted to swim to shore.",Y,,1942.00.00.i-Adong.pdf
1942.00.00.h,1942,1942,Boating,SOUTH AFRICA,Western Cape Province,,N,,1942.00.00.h-boat.pdf
1942.00.00.g,1942,1942,Boating,SOUTH AFRICA,Western Cape Province,,N,Said to involve a 6.5 m [21.5'] shark,1942.00.00.g-SimonsTown.pdf
1942.00.00.f,1942,1942,Unprovoked,BAHAMAS,Cay Sal Bank,Swimming along side N.E.L. vessel Saluda,N,1.2 m to 1.5 m [4' to 5'] shark,1942.00.00.f-Mann.pdf
1942.00.00.e,1942,1942,Sea Disaster,,,Jumped overboard from torpedoed Panamanian freighter,Y,,1942.00.00.e-seaman.pdf
1942.00.00.d,1942,1942,Sea Disaster,MID-PACIFC OCEAN,(Southwestern Pacific),"Plane forced down, 3 men on rubber life raft. Put hand over side to feel drift of boat ",N,,1942.00.00.d-Aldrich.pdf
1942.00.00.c,1942,1942,Sea Disaster,SOUTHWEST PACIFIC OCEAN,,Ditched plane in the sea & were adrift on a rubber life raft. ,N,"Said to be leopard sharks, more probably tiger sharks",1942.00.00.c-AmericanAviators.pdf
1942.00.00.b,1942,1942,Boating,,,"Days before the surrender of Singapore, the 3 men escaped to Sumatra where they acquired a 17' dinghy. After 125 days at sea they drifted back to Sumatra",N,,1942.00.00.b-Hall-Green-Jennings.pdf
1942.00.00.a,1942,1942,Unprovoked,PANAMA,Panama City,Swimming,Y,,1942.00.00.a-BellaVista.pdf
1941.12.07,07-Dec-1941,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,,Torpedoed & burning British  light cruiser with a crew of 450 men,Y,"Reportedly: oceanic whitetip sharks, blue sharks, tiger sharks & bull sharks",1941.12.07-SouthAtlantic.pdf
1941.12.03,03-Dec-1941,1941,Unprovoked,AUSTRALIA,Western Australia,Swimming,N,,1941.12.03-Graham.pdf
1941.11.27.b,27-Nov-1941,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,Off Libya,HMAS Parramatta torpedoed & sunk by the U-559,N,Tiger shark,1941.11.27.b-Nash.pdf
1941.11.27.a,27-Nov-1941,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,Off Libya,HMAS Parramatta torpedoed & sunk by the U-559,N,Tiger shark,1941.11.27.a-Annison.pdf
1941.11.24,25-Nov-1941,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,"North of Pernambuco, Brazil",British cruiser Dunedin torpedoed & sunk by the U-124,Y,,1941.11.24-Dunedin.pdf
1941.11.19,19-Nov-1941,1941,Sea Disaster,AUSTRALIA,Western Australia,German raider Kormoran was sunk in an engagement with HMAS Sydney,N,,1941.11.19-Kormoran.pdf
1941.09.25,25-Sep-1941,1941,Unprovoked,CARIBBEAN SEA,,SS Ethel Skakel foundered in Central America Hurricane of 1941,Y,,1941.09.25-Scotty.pdf
1941.08.21.R,Reported 21-Aug-1941,1941,Provoked,USA,New York,Fishing,N,,1941.08.21.R-Kelly.pdf
1941.08.05,05-Aug-1941,1941,Invalid,AUSTRALIA,New South Wales,Swimming,UNKNOWN,Shark involvement prior to death unconfirmed,1941.08.05-Dickerson.pdf
1941.08.01,01-Aug-1941,1941,Unprovoked,USA,South Carolina,Swimming at edge of channel,N,,1941.08.01-Sweatmon.pdf
1941.07.22,22-Jul-1941,1941,Boating,USA,New Jersey,Fishing for tuna,N,Mako shark,1941.07.23-boatBingo.pdf
1941.07.01,01-Jul-1941,1941,Provoked,USA,Hawaii,Fishing,N,100-lb shark,1941.07.01-Shimoto.pdf
1941.06.15,15-Jun-1941,1941,Provoked,USA,New York,Fishing from 32' boat,N,2.1 m [7'] shark,1941.06.15-Ruhle.pdf
